room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
8439119,279,25347589,Private room,Switzerland,Zurich,,Kreis 6,0,,2,1,1,104,2,,49:53.4,47.387101,8.544989,0101000020E6100000075C57CC08172140DC9F8B868CB14740
4742051,279,24478416,Entire home/apt,Switzerland,Zurich,,Kreis 4,0,,2,2,1,93,7,,49:32.5,47.377428,8.528921,0101000020E6100000D255BABBCE0E21401F4C8A8F4FB04740
9853190,279,48420108,Private room,Switzerland,Zurich,,Kreis 6,5,5,2,1,1,67,1,,49:15.1,47.382709,8.541147,0101000020E610000033A83638111521404371C79BFCB04740
10095683,279,1140206,Entire home/apt,Switzerland,Zurich,,Kreis 6,1,5,2,2,1,83,1,,48:43.0,47.392858,8.54368,0101000020E610000083FA96395D16214069FCC22B49B24740
4999355,279,16448177,Private room,Switzerland,Zurich,,Kreis 9,54,4.5,3,1,,72,1,,48:33.1,47.375586,8.493086,0101000020E61000001D3BA8C475FC2040F06AB93313B04740
8251833,279,15647838,Private room,Switzerland,Zurich,,Kreis 11,0,,2,1,1,98,5,,48:26.3,47.420479,8.506383,0101000020E61000003080F0A144032140D0D38041D2B54740
7072908,279,29507498,Private room,Switzerland,Zurich,,Kreis 11,15,5,3,1,1,79,1,,47:57.7,47.413994,8.554562,0101000020E61000006E35EB8CEF1B2140C05E61C1FDB44740
6161610,279,30299453,Private room,Switzerland,Zurich,,Kreis 4,0,,1,1,1,83,1,,47:37.3,47.375614,8.516444,0101000020E61000004C6E14596B082140BAF59A1E14B04740
5037976,279,26006569,Entire home/apt,Switzerland,Zurich,,Kreis 2,8,5,2,1,1,104,2,,47:19.2,47.355518,8.526141,0101000020E6100000632B685A620D2140D591239D81AD4740
8321743,279,43870222,Private room,Switzerland,Zurich,,Kreis 10,7,5,1,1,1,72,1,,47:12.3,47.388874,8.529856,0101000020E6100000C32D1F49490F2140E2218C9FC6B14740
6648859,279,2608205,Entire home/apt,Switzerland,Zurich,,Kreis 4,1,5,2,1,1,72,4,,47:10.5,47.379097,8.524606,0101000020E61000001D925A28990C21408081204086B04740
7753396,279,40596795,Entire home/apt,Switzerland,Zurich,,Kreis 6,3,4,2,1,1,90,3,,46:39.8,47.387054,8.544195,0101000020E61000001F4B1FBAA01621409BE447FC8AB14740
8158459,279,23561865,Entire home/apt,Switzerland,Zurich,,Kreis 1,12,5,2,0,1,109,1,,46:19.9,47.371167,8.545789,0101000020E61000007808E3A7711721405E2D776682AF4740
9358301,279,48564459,Private room,Switzerland,Zurich,,Kreis 6,6,4.5,2,1,1,83,1,,44:55.5,47.389894,8.537139,0101000020E6100000F2CF0CE2031321400C74ED0BE8B14740
6578784,279,34415240,Entire home/apt,Switzerland,Zurich,,Kreis 8,4,5,2,1,1,143,3,,44:51.2,47.355333,8.557376,0101000020E61000008D261763601D214044183F8D7BAD4740
6978438,279,13570663,Entire home/apt,Switzerland,Zurich,,Kreis 1,30,4.5,4,0,1,104,,,44:39.5,47.371446,8.544336,0101000020E610000027124C35B3162140711DE38A8BAF4740
6752793,279,24506658,Private room,Switzerland,Zurich,,Kreis 7,25,5,2,1,1,72,1,,44:27.8,47.38032,8.557219,0101000020E61000006E6B0BCF4B1D2140E2016553AEB04740
7657059,279,24579602,Private room,Switzerland,Zurich,,Kreis 10,3,5,2,1,1,62,3,,44:14.3,47.39203,8.532397,0101000020E61000001EFAEE56961021408386FE092EB24740
3682156,279,18715465,Entire home/apt,Switzerland,Zurich,,Kreis 7,6,4.5,4,2,2,166,5,,43:43.6,47.370177,8.557972,0101000020E6100000DC2A8881AE1D21409E5DBEF561AF4740
9290004,279,18793865,Private room,Switzerland,Zurich,,Kreis 10,2,5,1,1,1,67,2,,43:06.8,47.391808,8.528113,0101000020E6100000552FBFD3640E2140D427B9C326B24740
2088066,279,10654210,Entire home/apt,Switzerland,Zurich,,Kreis 5,151,4.5,,2,1,166,1,,42:55.8,47.391688,8.522036,0101000020E610000058AB764D480B21402A1E17D522B24740
9726105,279,23292966,Private room,Switzerland,Zurich,,Kreis 11,0,,1,1,1,31,1,,42:27.0,47.419179,8.544039,0101000020E6100000417FA1478C162140C21550A8A7B54740
2047753,279,7777034,Entire home/apt,Switzerland,Zurich,,Kreis 11,36,5,2,1,2,124,4,,42:06.3,47.425409,8.49986,0101000020E6100000392861A6EDFF2040483657CD73B64740
9341471,279,34320640,Private room,Switzerland,Zurich,,Kreis 3,8,4.5,2,1,1,61,2,,41:52.2,47.372714,8.520865,0101000020E6100000184339D1AE0A21407461A417B5AF4740
9793702,279,50473060,Private room,Switzerland,Zurich,,Kreis 3,0,,2,1,1,103,3,,41:46.5,47.360846,8.521912,0101000020E6100000A8C7B60C380B21403B72A43330AE4740
9733259,279,322621,Entire home/apt,Switzerland,Zurich,,Kreis 3,0,,2,2,,80,4,,41:20.8,47.346817,8.496166,0101000020E610000037C64E7809FE20403259DC7F64AC4740
2082084,279,10379615,Private room,Switzerland,Zurich,,Kreis 3,37,5,1,1,,52,1,,41:05.6,47.364071,8.521135,0101000020E6100000179AEB34D20A21400536E7E099AE4740
7348071,279,24671789,Entire home/apt,Switzerland,Zurich,,Kreis 5,0,,2,1,1,161,5,,40:49.9,47.382343,8.529432,0101000020E610000068E90AB6110F2140616D8C9DF0B04740
10427405,279,4818418,Entire home/apt,Switzerland,Zurich,,Kreis 3,0,,2,0,1,83,1,,40:42.6,47.372272,8.522335,0101000020E6100000C11C3D7E6F0B2140B79BE09BA6AF4740
2662129,279,10651736,Entire home/apt,Switzerland,Zurich,,Kreis 1,3,5,1,0,1,144,7,,39:35.5,47.372718,8.544197,0101000020E6100000A2293BFDA0162140B5503239B5AF4740
1790874,279,1348435,Entire home/apt,Switzerland,Zurich,,Kreis 7,31,4.5,2,0,1,104,2,,39:24.7,47.365615,8.557285,0101000020E61000004C1AA375541D2140A9F6E978CCAE4740
9297956,279,29086212,Private room,Switzerland,Zurich,,Kreis 7,0,,2,1,1,93,1,,38:59.7,47.373681,8.5547,0101000020E6100000B22E6EA3011C21407B116DC7D4AF4740
10007425,279,5103257,Private room,Switzerland,Zurich,,Kreis 10,1,5,2,1,1,47,2,,38:29.7,47.395088,8.521212,0101000020E6100000C5909C4CDC0A214062855B3E92B24740
8803591,279,16703823,Entire home/apt,Switzerland,Zurich,,Kreis 4,0,,2,0,1,133,3,,38:08.4,47.376355,8.531682,0101000020E610000066BE839F38102140D15790662CB04740
6796349,279,26314685,Private room,Switzerland,Zurich,,Kreis 3,11,4.5,2,1,,90,2,,38:02.7,47.366699,8.52186,0101000020E61000005E2EE23B310B2140EA3C2AFEEFAE4740
8200590,279,13921571,Entire home/apt,Switzerland,Zurich,,Kreis 10,2,5,2,0,1,115,3,,37:22.3,47.390683,8.527176,0101000020E6100000E2783E03EA0D2140350D8AE601B24740
10308446,279,29315373,Private room,Switzerland,Zurich,,Kreis 11,0,,1,1,1,31,4,,37:19.6,47.418835,8.547289,0101000020E6100000CCEB884336182140C8B5A1629CB54740
10327299,279,5941465,Private room,Switzerland,Zurich,,Kreis 6,0,,2,1,1,45,5,,36:41.4,47.404061,8.534634,0101000020E6100000CAA8328CBB112140664B5645B8B34740
8056083,279,23561865,Entire home/apt,Switzerland,Zurich,,Kreis 1,9,5,4,1,1,154,1,,36:13.4,47.372693,8.541224,0101000020E6100000E09EE74F1B1521405C397B67B4AF4740
4472468,279,23185355,Entire home/apt,Switzerland,Zurich,,Kreis 7,13,3.5,2,0,1,62,1,,35:32.9,47.357001,8.597458,0101000020E61000009677D503E6312140D4D17135B2AD4740
8777211,279,45888233,Private room,Switzerland,Zurich,,Kreis 12,13,3.5,2,1,1,56,1,,35:16.9,47.404699,8.573927,0101000020E610000031957EC2D9252140A9DC442DCDB34740
5989564,279,20476242,Entire home/apt,Switzerland,Zurich,,Kreis 2,0,,4,2,1,155,5,,35:02.2,47.34345,8.53108,0101000020E61000008E1EBFB7E90F2140D5E76A2BF6AB4740
10202571,279,3419640,Entire home/apt,Switzerland,Zurich,,Kreis 11,0,,5,2,2,259,2,,34:04.7,47.418337,8.557428,0101000020E6100000D7BFEB33671D214077DA1A118CB54740
4311202,279,22378681,Private room,Switzerland,Zurich,,Kreis 2,2,5,,1,1,98,1,,33:48.9,47.331565,8.537598,0101000020E61000003ECA880B40132140C6BFCFB870AA4740
9057984,279,47253424,Entire home/apt,Switzerland,Zurich,,Kreis 4,0,,2,1,1,93,7,,33:46.0,47.379458,8.530672,0101000020E61000004ACE893DB40F2140501A6A1492B04740
4278380,279,4072483,Entire home/apt,Switzerland,Zurich,,Kreis 3,0,,2,0,1,104,3,,33:40.5,47.37067,8.518199,0101000020E6100000CAA31B6151092140DDCD531D72AF4740
2429885,279,6504463,Private room,Switzerland,Zurich,,Kreis 10,23,4.5,2,1,1,52,1,,33:20.9,47.412496,8.482595,0101000020E61000001E6D1CB116F720408BDD3EABCCB44740
9601587,279,49689938,Entire home/apt,Switzerland,Zurich,,Kreis 6,0,,3,2,1,207,1,,33:04.8,47.393471,8.539531,0101000020E61000003A5B40683D1421405376FA415DB24740
4161844,279,2036007,Private room,Switzerland,Zurich,,Kreis 3,8,5,2,1,1,67,2,,32:54.2,47.374276,8.519334,0101000020E6100000D8666325E6092140BFD6A546E8AF4740
808199,279,4231565,Entire home/apt,Switzerland,Zurich,,Kreis 5,21,5,3,1,1,117,5,,32:05.3,47.38295,8.5291,0101000020E610000090A0F831E60E214069006F8104B14740
10113625,279,51900738,Entire home/apt,Switzerland,Zurich,,Kreis 1,0,,4,2,2,113,7,,32:00.7,47.37528,8.535262,0101000020E6100000469561DC0D122140E36BCF2C09B04740
8607921,279,28628731,Private room,Switzerland,Zurich,,Kreis 7,7,4.5,2,1,1,88,2,,31:51.1,47.368871,8.553866,0101000020E610000090BB0853941B2140AEB8382A37AF4740
8246496,279,23284173,Entire home/apt,Switzerland,Zurich,,Kreis 6,6,4.5,2,1,1,72,1,,31:38.5,47.387866,8.544576,0101000020E61000007C5F5CAAD21621407C9DD497A5B14740
8866755,279,46219727,Private room,Switzerland,Zurich,,Kreis 11,10,4.5,2,1,1,57,1,,31:28.6,47.408057,8.545774,0101000020E6100000A30392B06F172140B2F336363BB44740
10135126,279,27537714,Entire home/apt,Switzerland,Zurich,,Kreis 9,0,,4,2,1,93,20,,31:15.4,47.391547,8.475802,0101000020E610000027BEDA519CF3204068EC4B361EB24740
5859264,279,22183665,Private room,Switzerland,Zurich,,Kreis 3,11,4.5,1,1,1,43,2,,31:12.3,47.370037,8.507996,0101000020E610000065FF3C0D18042140ADA7565F5DAF4740
8272529,279,1371406,Shared room,Switzerland,Zurich,,Kreis 11,7,4.5,2,1,1,28,1,,49:19.6,47.404319,8.55472,0101000020E6100000CEDF8442041C2140621399B9C0B34740
4756232,279,2140298,Shared room,Switzerland,Zurich,,Kreis 10,1,,2,1,1,99,1,,17:23.0,47.399413,8.501919,0101000020E6100000677BF486FB002140734C16F71FB34740
9253340,279,9230404,Shared room,Switzerland,Zurich,,Kreis 8,0,,2,1,1,61,2,,45:41.8,47.356994,8.554568,0101000020E6100000F6D03E56F01B2140226FB9FAB1AD4740
9305965,279,48309059,Shared room,Switzerland,Zurich,,Kreis 4,0,,,1,1,47,1,,52:54.7,47.378977,8.527444,0101000020E61000005EF1D4230D0E2140D5777E5182B04740
6072600,279,31518158,Shared room,Switzerland,Zurich,,Kreis 9,14,5,2,1,1,29,1,,26:29.4,47.398177,8.497589,0101000020E6100000DDB243FCC3FE20407B82C476F7B24740
9638458,279,7766714,Shared room,Switzerland,Zurich,,Kreis 11,6,5,1,1,1,78,1,,42:41.3,47.417981,8.535156,0101000020E610000030849CF7FF112140B8ACC26680B54740
5847661,279,29816318,Shared room,Switzerland,Zurich,,Kreis 2,4,5,1,1,2,57,3,,59:16.3,47.360458,8.526016,0101000020E610000071581AF8510D214071CADC7C23AE4740
