room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7397651,16702245,Private room,,Guildhall Ward,4,4.5,2,,98,1,53.964693,-1.068831,57:11.8
14312839,77934922,Private room,,Rural West York Ward,1,,2,,109,1,53.999703,-1.132751,56:29.6
3448121,17377593,Private room,,Fishergate Ward,54,4.5,1,,48,2,53.947434,-1.076177,56:21.8
8697247,12178334,Private room,,Strensall Ward,5,4.5,5,,121,1,53.995681,-0.999443,55:52.7
13260315,14508416,Entire home/apt,,Guildhall Ward,0,,4,,191,7,53.959941,-1.07988,55:50.3
3901195,8318434,Entire home/apt,,Micklegate Ward,2,,2,,151,3,53.955972,-1.083877,55:34.0
10872487,43256484,Entire home/apt,,Guildhall Ward,2,,6,,140,7,53.958054,-1.07931,55:18.8
1053063,5737230,Private room,,Micklegate Ward,261,5,2,,70,2,53.956412,-1.085475,55:08.0
8544843,43256484,Entire home/apt,,Micklegate Ward,0,,4,,127,7,53.957855,-1.08557,54:56.5
14713565,91321209,Entire home/apt,,Osbaldwick & Derwent Ward,12,4.5,8,,254,1,53.957702,-1.007859,53:28.4
12053151,34741576,Entire home/apt,,Osbaldwick & Derwent Ward,2,,2,,82,2,53.980699,-0.977895,53:16.5
3213906,16279846,Entire home/apt,,Wheldrake Ward,16,5,16,,757,2,53.899428,-1.043577,53:00.7
8545225,43256484,Entire home/apt,,Micklegate Ward,0,,4,,127,7,53.957568,-1.086177,52:57.0
8399496,43256484,Entire home/apt,,Micklegate Ward,0,,4,,134,7,53.960037,-1.090435,52:52.3
13508885,48042536,Entire home/apt,,Holgate Ward,19,5,4,,160,2,53.955322,-1.099645,52:49.2
3736327,12178334,Entire home/apt,,Strensall Ward,33,4.5,3,,82,1,53.997209,-1.001238,52:44.2
8529356,43256484,Entire home/apt,,Guildhall Ward,5,5,4,,159,4,53.958793,-1.078369,52:33.2
15186072,44592065,Private room,,Clifton Ward,12,5,2,,50,,53.963509,-1.091598,52:29.8
388802,1945305,Private room,,Hull Road Ward,262,5,2,,44,1,53.953905,-1.058223,52:20.9
838728,1733821,Entire home/apt,,Guildhall Ward,42,5,2,,146,2,53.963144,-1.077645,52:18.5
8902924,46051002,Private room,,Osbaldwick & Derwent Ward,0,,1,,38,2,53.967438,-0.973382,52:14.5
13603287,15902032,Private room,,Rawcliffe & Clifton Without Ward,16,5,2,,61,2,53.978467,-1.098543,52:07.7
15839015,28107849,Entire home/apt,,Guildhall Ward,0,,5,,229,2,53.963558,-1.074007,51:58.9
8531308,43256484,Entire home/apt,,Guildhall Ward,0,,2,,82,7,53.959477,-1.079365,51:52.8
13538908,77871462,Entire home/apt,,Guildhall Ward,22,5,4,,166,,53.959174,-1.080114,51:50.4
14023359,83912266,Shared room,,Micklegate Ward,28,4,8,,37,1,53.957434,-1.088423,27:39.9
10892454,44492865,Entire home/apt,,Fulford & Heslington Ward,10,5,6,,159,2,53.933085,-1.069629,30:08.2
9475620,949161,Entire home/apt,,Fulford & Heslington Ward,29,5,10,,252,1,53.919428,-1.084959,10:27.4
8220468,43246668,Entire home/apt,,Micklegate Ward,14,5,7,,299,3,53.95265,-1.096435,12:33.8
7494978,12178334,,,Strensall Ward,6,3.5,4,,96,1,53.993516,-1.00202,21:18.1
11061265,57410191,Entire home/apt,,Guildhall Ward,14,4.5,4,,152,1,53.962002,-1.069261,18:38.4
8449426,43256484,Entire home/apt,,Fishergate Ward,2,,4,,121,7,53.951839,-1.074295,20:25.1
2648720,13560198,Entire home/apt,,Guildhall Ward,3,5,4,,318,2,53.960708,-1.080028,29:28.7
13553725,43246668,Entire home/apt,,Guildhall Ward,5,5,4,,177,3,53.958195,-1.081309,03:49.3
13247167,74471569,Entire home/apt,,Haxby & Wigginton Ward,24,5,2,,63,2,54.0207,-1.082783,14:06.8
2384114,12178334,Entire home/apt,,Strensall Ward,36,4,5,,121,1,53.995671,-0.99991,08:21.8
7233332,36530247,Entire home/apt,,Clifton Ward,0,,12,,445,,53.966358,-1.090893,06:33.7
12909845,70764099,Entire home/apt,,Rawcliffe & Clifton Without Ward,0,,3,,83,14,53.979094,-1.096087,29:03.0
15430632,48494396,Entire home/apt,,Dringhouses & Woodthorpe Ward,1,,2,,104,2,53.94585,-1.103304,03:52.5
12165422,3869649,Entire home/apt,,Micklegate Ward,7,4.5,4,,102,2,53.945062,-1.089532,29:06.9
13889053,28107849,Entire home/apt,,Fishergate Ward,1,,3,,140,,53.951423,-1.072654,28:53.1
14729243,28801715,Entire home/apt,,Micklegate Ward,8,5,5,,102,2,53.945534,-1.091405,30:14.5
8270331,24066395,Entire home/apt,,Micklegate Ward,16,5,6,,250,,53.956616,-1.08994,04:21.9
