room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
15954676,24783188,Private room,,Lyall Bay-Airport-Moa Point,11,5,1,1,29,,-41.323144,174.7905,37:42.4
17332739,113904711,Private room,,Rangoon Heights,8,5,2,1,41,,-41.244057,174.795649,37:42.4
18143661,23333108,Private room,,Miramar,0,0,1,1,20,,-41.313211,174.822181,37:42.4
16145630,19359485,Private room,,Berhampore West,5,4.5,2,1,34,,-41.319664,174.776667,37:42.4
16549770,9457026,Private room,,Mt Victoria West,1,0,1,1,39,,-41.294706,174.788856,37:42.4
13981261,72353386,Private room,,Miramar North,3,5,2,1,39,,-41.303051,174.825522,37:42.4
7607112,39896073,Private room,,Johnsonville North,0,0,2,1,32,,-41.21735,174.799479,37:42.4
17848157,9607833,Private room,,Aro Street-Nairn Street,1,0,2,1,39,,-41.295706,174.765992,37:42.4
18009612,123809550,Private room,,Ngaio South,1,0,2,1,36,,-41.257148,174.782575,37:41.1
17445727,54442216,Private room,,Te Kainga,0,0,2,2,39,,-41.254993,174.789507,37:41.1
11017134,11434339,Private room,,Newtown West,4,4.5,2,1,36,,-41.318514,174.7798,37:41.1
7419555,28485903,Private room,,Island Bay East,26,4.5,2,1,37,,-41.338069,174.776403,37:41.1
12955529,1089991,Private room,,Karori South,43,5,2,1,40,,-41.286008,174.734376,37:41.1
6239256,30998875,Private room,,Mt Victoria West,63,4.5,2,1,39,,-41.298873,174.787903,37:41.1
16662054,89627461,Private room,,Khandallah Park-Broadmeadows,11,4.5,1,1,20,,-41.234156,174.794575,37:41.1
17994051,42717038,Private room,,Brooklyn,2,0,2,1,41,,-41.306605,174.761161,37:41.1
2352266,12011248,Private room,,Awarua,27,5,2,1,39,,-41.251116,174.770368,37:41.1
14536846,29723893,Private room,,Miramar,60,4,2,1,21,,-41.313005,174.820816,37:41.1
16520551,22059766,Private room,,Linden,24,5,2,1,39,,-41.158526,174.829586,37:41.1
10034358,3171186,Private room,,Mt Victoria West,2,0,2,1,36,,-41.293236,174.785092,37:41.1
7345382,29073085,Private room,,Island Bay East,10,4.5,1,1,36,,-41.336268,174.774988,37:41.1
17705781,73264673,Private room,,Newlands North,4,4.5,2,1,41,,-41.22938,174.816295,37:41.1
14771275,3558466,Private room,,Hataitai North,21,4.5,1,1,35,,-41.300256,174.803513,37:41.1
10371406,53385892,Private room,,Mt Cook-Wallace Street,3,4.5,1,1,33,,-41.301075,174.778087,37:41.1
14064413,84438277,Private room,,Brooklyn,2,0,2,1,25,,-41.30966,174.767567,37:41.1
17699786,57998741,Private room,,Berhampore West,1,0,2,1,39,,-41.322976,174.76831,37:39.2
13032885,34020354,Private room,,Kilbirnie West-Hataitai South,12,4.5,2,1,36,,-41.312362,174.793585,37:39.2
2326500,11248369,Private room,,Hataitai North,65,4.5,2,1,39,,-41.298818,174.792704,37:39.2
12135310,65135265,Private room,,Mt Cook-Wallace Street,0,0,2,1,22,,-41.298936,174.777558,37:39.2
11661853,58923747,Private room,,Mt Victoria West,35,4,2,1,36,,-41.293078,174.787904,37:39.1
6679184,34961218,Private room,,Johnsonville Central,82,5,2,1,20,,-41.220944,174.797096,37:39.1
8108649,42815717,Private room,,Lambton,2,0,2,1,29,,-41.28842,174.77099,37:39.1
14219587,86383334,Private room,,Mt Cook-Wallace Street,2,0,2,1,25,,-41.304968,174.776707,37:39.1
11445172,52888470,Private room,,Strathmore Park,14,5,2,1,39,,-41.324799,174.824141,37:39.1
11126542,57817792,Private room,,Paparangi,19,5,2,1,29,,-41.219154,174.821234,37:39.1
16995066,75324358,Private room,,Churton Park North,3,5,2,1,25,,-41.198779,174.799422,37:39.1
17748827,121089953,Private room,,Kilbirnie West-Hataitai South,1,0,2,1,36,,-41.30624,174.79687,37:39.1
7775841,40907272,Private room,,Raroa,40,4.5,2,1,36,,-41.226818,174.797622,37:39.1
10841640,17313303,Private room,,Paparangi West,41,4.5,2,1,39,,-41.213742,174.814546,37:39.1
